filename,schema_version,date,parliament_no,session_no,period_no,chamber,page_no,proof
2000-05-11,2.0,2000-05-11,39,1,6,REPS,16251,0.0
2000-05-29,2.0,2000-05-29,39,1,6,REPS,16381,0.0
2000-05-30,2.0,2000-05-30,39,1,6,REPS,16521,0.0
2000-05-31,2.0,2000-05-31,39,1,6,REPS,16625,0.0
2000-06-01,2.0,2000-06-01,39,1,6,REPS,16797,0.0
2000-06-05,2.0,2000-06-05,39,1.0,6.0,SENATE,14491.0,0.0
2000-06-05,2.0,2000-06-05,39,1,6,REPS,16947,0.0
2000-06-06,2.0,2000-06-06,39,1.0,6.0,SENATE,14641.0,0.0
2000-06-06,2.0,2000-06-06,39,1,6,REPS,17073,0.0
2000-06-07,2.0,2000-06-07,39,1.0,6.0,SENATE,14767.0,0.0
2000-06-07,2.0,2000-06-07,39,1,6,REPS,17163,0.0
2000-06-08,2.0,2000-06-08,39,1.0,6.0,SENATE,14911.0,0.0
2000-06-08,2.0,2000-06-08,39,1,6,REPS,17369,0.0
2000-06-19,2.0,2000-06-19,39,1.0,6.0,SENATE,15053.0,1.0
2000-06-19,2.0,2000-06-19,19,1,6,REPS,17549,0.0
2000-06-20,2.0,2000-06-20,39,1.0,6.0,SENATE,15189.0,0.0
2000-06-20,2.0,2000-06-20,39,1,6,REPS,17689,0.0
2000-06-21,2.0,2000-06-21,39,1.0,6.0,SENATE,15277.0,0.0
2000-06-21,2.0,2000-06-21,39,1,6,REPS,17803,0.0
2000-06-22,2.0,2000-06-22,39,1.0,6.0,SENATE,15421.0,1.0
2000-06-22,2.0,2000-06-22,39,1,6,REPS,18027,0.0
2000-06-26,2.0,2000-06-26,39,1.0,6.0,SENATE,15549.0,0.0
2000-06-26,2.0,2000-06-26,39,1,6,REPS,18171,0.0
2000-06-27,2.0,2000-06-27,39,1.0,6.0,SENATE,15669.0,0.0
2000-06-27,2.0,2000-06-27,39,1,6,REPS,18295,0.0
2000-06-28,2.0,2000-06-28,39,1.0,6.0,SENATE,15785.0,0.0
2000-06-28,2.0,2000-06-28,39,1,6,REPS,18393,0.0
2000-06-29,2.0,2000-06-29,39,1.0,6.0,SENATE,15941.0,0.0
2000-06-29,2.0,2000-06-29,39,1,6,REPS,18565,0.0
2000-08-14,2.0,2000-08-14,39,1.0,7.0,SENATE,16173.0,0.0
2000-08-14,2.0,2000-08-14,39,1,7,REPS,18817,0.0
2000-08-15,2.0,2000-08-15,39,1.0,7.0,SENATE,16331.0,0.0
2000-08-15,2.0,2000-08-15,39,1,7,REPS,18945,0.0
2000-08-16,2.0,2000-08-16,39,1.0,7.0,SENATE,16419.0,0.0
2000-08-16,2.0,2000-08-16,39,1,7,REPS,19057,0.0
2000-08-17,2.0,2000-08-17,39,1.0,7.0,SENATE,16551.0,0.0
2000-08-17,2.0,2000-08-17,39,1,7,REPS,19223,0.0
2000-08-28,2.0,2000-08-28,39,1.0,7.0,SENATE,16683.0,0.0
2000-08-28,2.0,2000-08-28,39,1,7,REPS,19373,0.0
2000-08-29,2.0,2000-08-29,39,1.0,7.0,SENATE,16801.0,0.0
2000-08-29,2.0,2000-08-29,39,1,7,REPS,19503,0.0
2000-08-30,2.0,2000-08-30,39,1.0,7.0,SENATE,16885.0,0.0
2000-08-30,2.0,2000-08-30,39,1,7,REPS,19609,0.0
2000-08-31,2.0,2000-08-31,39,1.0,7.0,SENATE,17029.0,0.0
2000-08-31,2.0,2000-08-31,39,1,7,REPS,19801,0.0
2000-09-04,2.0,2000-09-04,39,1.0,7.0,SENATE,17187.0,0.0
2000-09-04,2.0,2000-09-04,39,1,7,REPS,19967,0.0
2000-09-05,2.0,2000-09-05,39,1.0,7.0,SENATE,17297.0,0.0
2000-09-05,2.0,2000-09-05,39,1,7,REPS,20097,0.0
2000-09-06,2.0,2000-09-06,39,1.0,7.0,SENATE,17381.0,0.0
2000-09-06,2.0,2000-09-06,39,1,7,REPS,20197,0.0
