unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Drake1850,JXO,QLD,1901-03-30,1906-12-31,Retired,0.0
DrakeBrockman1884,JXP,WA,1920-07-01,1926-06-30,Retired,0.0
DrakeBrockman1919,JXR,WA,1958-08-12,1958-11-21,Term Expired,1.0
DrakeBrockman1919,JXR,WA,1959-07-01,1978-06-30,Retired,0.0
Drury1912,JXX,SA,1959-07-01,1975-11-11,Defeated,0.0
Duncan1883,JXZ,NSW,1920-07-01,1931-12-01,Resigned,0.0
DuncanHughes1882,JY7,SA,1931-12-19,1938-06-30,Retired,0.0
Duniam1982,263418,TAS,2016-07-02,,,0.0
Dunn1887,JYB,NSW,1929-07-01,1935-06-30,Defeated,0.0
Dunn1948,3K4,NSW,1988-07-21,1990-06-30,Defeated,0.0
Durack1926,8G4,WA,1971-07-01,1993-06-30,Retired,0.0
Earle1865,JYF,TAS,1917-03-01,1923-06-30,Defeated,1.0
Edwards1962,225307,SA,2011-07-01,2016-07-02,,0.0
Eggleston1941,4L6,WA,1996-07-01,2014-06-30,Retired,0.0
Elliott1878,JYG,VIC,1920-07-01,1931-03-23,Died,0.0
Elliott1884,JYH,VIC,1929-07-01,1935-06-30,Defeated,0.0
Ellison1954,9X5,WA,1993-07-01,2009-01-30,Resigned,0.0
Elstob1924,JYI,SA,1978-07-01,1987-06-05,Retired,0.0
Evans1928,JYL,WA,1983-03-05,1985-06-30,Defeated,0.0
Evans1944,VD4,VIC,1978-07-01,1996-02-06,Resigned,0.0
Evans1958,AX5,WA,1993-07-01,2013-04-12,Resigned,0.0
Everett1917,JYN,TAS,1974-05-18,1975-11-11,Defeated,0.0
Ewing1870,JYQ,WA,1901-03-29,1903-04-17,Resigned,0.0
Fairbairn1855,JYR,VIC,1917-07-01,1923-06-30,Retired,0.0
Farrell1954,I0N,SA,2008-07-01,2014-06-30,Defeated,0.0
Farrell1954,I0N,SA,2016-07-02,,,0.0
Faruqi1963,250362,NSW,2018-08-15,,,0.0
Faulkner1954,5K4,NSW,1989-04-04,2015-02-05,Resigned,1.0
Fawcett1963,DYU,SA,2011-07-01,,,0.0
Feeney1970,I0O,VIC,2008-07-01,2013-08-12,Resigned,0.0
Ferguson1830,JYS,QLD,1901-03-30,1903-10-06,,0.0
Ferguson1943,EP5,SA,1992-05-26,2011-06-30,Retired,1.0
Ferricks1875,JYT,QLD,1913-07-01,1920-06-30,Defeated,0.0
Ferris1941,5L6,SA,1996-07-01,1996-07-12,Resigned,0.0
Ferris1941,5L6,SA,1996-07-24,2007-04-02,Died,1.0
Field1910,JYW,QLD,1975-09-03,1975-11-11,Defeated,1.0
Fielding1960,E4R,VIC,2005-07-01,2011-06-30,Defeated,0.0
FierravantiWells1960,E4T,NSW,2005-05-05,,,1.0
Fifield1967,D2I,VIC,2004-03-31,2019-08-16,,1.0
Findley1864,JYX,VIC,1904-01-01,1917-06-30,Defeated,0.0
Findley1864,JYX,VIC,1923-07-01,1929-06-30,Defeated,0.0
Finlay1887,JZ8,SA,1944-07-01,1953-06-30,Retired,0.0
Fisher1962,HBE,SA,2007-06-06,2012-08-14,Resigned,1.0
Fitzgerald1910,JZB,NSW,1962-07-01,1974-04-11,Retired,0.0
Foll1890,JZD,QLD,1917-07-01,1947-06-30,Retired,0.0
Foreman1933,GG4,SA,1981-07-01,1997-09-15,Resigned,0.0
Forshaw1952,656,NSW,1994-05-10,2011-06-30,Retired,1.0
Foster1884,KKH,TAS,1920-07-01,1925-06-30,Resigned,0.0
Fraser1832,KKL,VIC,1901-03-29,1913-06-30,Retired,0.0
Fraser1889,KKR,WA,1938-07-01,1959-06-30,Retired,0.0
Fraser1892,KKJ,VIC,1946-05-15,1946-09-27,Term Expired And Defeated,1.0
Furner1958,I0P,QLD,2008-07-01,2014-06-30,Defeated,0.0
Gair1901,KKP,QLD,1965-07-01,1974-04-11,Retired,0.0
Gallacher1954,204953,SA,2011-07-01,2021-08-29,Death,0.0
Gallagher1970,ING,ACT,2015-03-25,2018-05-09,Resigned,1.0
Gallagher1970,ING,ACT,2019-05-18,,,0.0
Gardiner1867,KKZ,NSW,1910-07-01,1926-06-30,Defeated,0.0
Gardiner1867,KKZ,NSW,1928-06-05,1928-11-16,Term Expired And Retired,1.0
Garling1870,KL7,NSW,1921-12-15,1922-12-15,Defeated,1.0
Georges1920,7V4,QLD,1968-07-01,1987-06-05,Defeated,0.0
Georgiou1974,269583,WA,2017-03-10,2019-06-30,,0.0
Gibbs1879,KLP,NSW,1925-04-01,1925-11-13,Retired,1.0
Gibbs1947,6L6,QLD,1996-07-01,2002-06-30,Defeated,0.0
Gibson1869,KAY,VIC,1935-07-01,1947-06-30,Retired,0.0
Gibson1936,BX5,TAS,1993-07-01,2002-02-22,Resigned,0.0
Gichuhi1962,270552,SA,2017-04-19,2019-06-30,Defeated,0.0
Gietzelt1920,RG4,NSW,1971-07-01,1989-02-27,Resigned,0.0
Giles1928,XG4,WA,1981-07-01,1993-06-30,Retired,0.0
Givens1864,KLS,QLD,1904-01-01,1928-06-19,Died,0.0
Glasgow1876,KLU,QLD,1920-07-01,1932-06-30,Defeated,0.0
Glassey1844,KLW,QLD,1901-03-30,1903-12-31,Defeated,0.0
Gorton1911,KH5,VIC,1949-12-10,1968-02-01,Resignedi,0.0
